y_bin,alpha_bin,median_log_rt,mean_log_rt,sat_prob,count
"(0.215, 0.22]",5.0,-3.1938773931106956,-3.198716699120788,0.008695652173913044,115
"(0.22, 0.225]",3.0,,,,0
"(0.22, 0.225]",3.4,,,,0
"(0.22, 0.225]",3.8,,,,0
"(0.22, 0.225]",4.0,,,,0
"(0.22, 0.225]",4.1,,,,0
"(0.22, 0.225]",4.2,,,,0
"(0.22, 0.225]",4.26,,,,0
"(0.22, 0.225]",4.4,,,,0
"(0.22, 0.225]",4.6,,,,0
"(0.22, 0.225]",5.0,-3.1719490264606742,-3.177884457030605,0.0,83
